구,초등학교수,중학교수,고등학교수,공원수,백화점수,지하철역수
강남구,34,24,22,7,138,24
강동구,29,19,14,7,16,13
강북구,14,13,7,4,5,11
강서구,34,22,23,10,3,18
관악구,21,16,17,2,3,8
광진구,21,12,9,2,6,9
구로구,27,14,14,4,18,9
금천구,18,9,6,4,0,4
노원구,42,25,25,2,21,14
도봉구,23,13,9,6,2,6
동대문구,21,15,11,4,5,9
동작구,21,16,8,7,1,15
마포구,22,13,9,5,2,13
서대문구,19,14,7,4,6,7
서초구,24,16,10,6,62,18
성동구,21,11,7,5,1,11
성북구,29,18,13,3,18,13
송파구,41,29,20,7,24,23
양천구,30,19,15,5,25,7
영등포구,23,12,8,5,69,19
용산구,14,9,10,2,1,12
은평구,30,18,18,7,0,12
종로구,13,9,14,12,0,14
중구,11,7,11,3,64,15
중랑구,24,14,10,5,0,10
